EEZID,EEZ_Name
919,France_(Atlantic_Coast)
918,France_(Mediterranean)
254,French_Guiana
258,French_Polynesia
266,Gabon
219,Galapagos_Isl._(Ecuador)
270,Gambia
274,Gaza_Strip
268,Georgia
278,Germany_(Baltic_Sea)
277,Germany_(North_Sea)
288,Ghana
972,Glorieuse_Islands_(France)
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe  (France)
316,Guam_(USA)
935,Guatemala_(Caribbean)
936,Guatemala_(Pacific)
324,Guinea
624,Guinea-Bissau
328,Guyana
332,Haiti
842,Hawaii_Main_Islands_(USA)
488,Hawaii_Northwest_Islands_(USA)
334,Heard_&_McDonald_Isl._(Australia)
921,Honduras_(Caribbean)
920,Honduras_(Pacific)
344,Hong_Kong_(China)
846,Howland_&_Baker_Isl._(USA)
352,Iceland
356,India_(mainland)
937,Indonesia_(Central)
361,Indonesia_(Eastern)
938,Indonesia_(Indian_Ocean)
922,Iran_(Persian_Gulf)
923,Iran_(Sea_of_Oman)
368,Iraq
372,Ireland
939,Israel_(Mediterranean)
940,Israel_(Red_Sea)
380,Italy
388,Jamaica
579,Jan_Mayen_Isl._(Norway)
393,Japan_(Daito_Islands)
390,Japan_(main_islands)
971,Japan_(Ogasawara_Islands)
845,Jarvis_Isl._(USA)
396,Johnston_Atoll_(USA)
400,Jordan
155,Juan_Fernandez_Islands_(Chile)
404,Kenya
897,Kerguelen_Isl._(France)
555,Kermadec_Isl._(New_Zealand)
941,Kiribati_(Gilbert_Islands)
942,Kiribati_(Line_Islands)
943,Kiribati_(Phoenix_Islands)
408,Korea_(North)
410,Korea_(South)
414,Kuwait
428,Latvia
422,Lebanon
430,Liberia
434,Libya
440,Lithuania
38,Lord_Howe_Isl._(Australia)
37,Macquarie_Isl._(Australia)
450,Madagascar
621,Madeira_Isl._(Portugal)
460,Malaysia_(Peninsula_East)
459,Malaysia_(Peninsula_West)
461,Malaysia_(Sabah)
463,Malaysia_(Sarawak)
462,Maldives
470,Malta
584,Marshall_Isl.
474,Martinique_(France)
478,Mauritania
480,Mauritius
175,Mayotte_(France)
944,Mexico_(Atlantic)
945,Mexico_(Pacific)
583,Micronesia_(Federated_States_of)
891,Montenegro
500,Montserrat_(UK)
946,Morocco_(Central)
947,Morocco_(Mediterranean)
948,Morocco_(South)
508,Mozambique
251,Mozambique_Channel_Isl._(France)
104,Myanmar
516,Namibia
520,Nauru
528,Netherlands
540,New_Caledonia_(France)
554,New_Zealand
949,Nicaragua_(Caribbean)
950,Nicaragua_(Pacific)
566,Nigeria
570,Niue_(New_Zealand)
574,Norfolk_Isl._(Australia)
580,Northern_Marianas_(USA)
578,Norway
512,Oman
911,Oman_(Musandam)
586,Pakistan
585,Palau
844,Palmyra_Atoll_&_Kingman_Reef_(USA)
951,Panama_(Caribbean)
952,Panama_(Pacific)
598,Papua_New_Guinea
604,Peru
608,Philippines
612,Pitcairn_(UK)
616,Poland
620,Portugal
711,Prince_Edward_Isl._(South_Africa)
630,Puerto_Rico_(USA)
634,Qatar
638,Réunion_(France)
642,Romania
648,Russia_(Baltic_Sea)
645,Russia_(Barents_Sea)
647,Russia_(Black_Sea)
649,Russia_(Far_East)
912,Russia_(Kara_Sea)
913,Russia_(Laptev_to_Chukchi_Sea)
908,Saba_and_Sint_Eustaius_(Netherland
654,Saint_Helena_(UK)
659,Saint_Kitts_&_Nevis
662,Saint_Lucia
666,Saint_Pierre_&_Miquelon_(France)
670,Saint_Vincent_&_the_Grenadines
882,Samoa
678,Sao_Tome_&_Principe
902,Sardinia_(Italy)
684,Saudi_Arabia_(Persian_Gulf)
683,Saudi_Arabia_(Red_Sea)
686,Senegal
690,Seychelles
901,Sicily_(Italy)
694,Sierra_Leone
702,Singapore
909,Sint_Maarten_(Netherlands)
705,Slovenia
90,Solomon_Isl.
706,Somalia
953,South_Africa_(Atlantic_Coast)
954,South_Africa_(Indian_Ocean_Coast)
239,South_Georgia_&_Sandwich_Isl._(UK)
910,South_Orkney_Islands_(UK)
962,Spain_(Mediterranean_and_Gulf_of_Cadiz)
963,Spain_(Northwest)
144,Sri_Lanka
904,St_Barthelemy_(France)
905,St_Martin_(France)
895,St_Paul_&_Amsterdam_Isl._(France)
736,Sudan
740,Suriname
744,Svalbard_Isl._(Norway)
914,Sweden_(Baltic)
915,Sweden_(West_Coast)
760,Syria
157,Taiwan
834,Tanzania
956,Thailand_(Andaman_Sea)
957,Thailand_(Gulf_of_Thailand)
626,Timor_Leste
768,Togo
772,Tokelau_(New_Zealand)
776,Tonga
77,Trindade_&_Martim_Vaz_Isl._(Brazil)
780,Trinidad_&_Tobago
856,Tristan_da_Cunha_Isl._(UK)
252,Tromelin_Isl._(France)
788,Tunisia
794,Turkey_(Black_Sea)
966,Turkey_(Marmara_Sea)
793,Turkey_(Mediterranean_Sea)
796,Turks_&_Caicos_Isl._(UK)
798,Tuvalu
804,Ukraine
784,United_Arab_Emirates
968,United_Arab_Emirates_(Fujairah)
826,United_Kingdom
858,Uruguay
850,US_Virgin_Isl.
958,"USA_(Alaska,_Arctic)"
959,"USA_(Alaska,_Subarctic)"
851,USA_(East_Coast)
852,USA_(Gulf_of_Mexico)
848,USA_(West_Coast)
548,Vanuatu
862,Venezuela
704,Viet_Nam
872,Wake_Isl._(USA)
876,Wallis_&_Futuna_Isl._(France)
917,Yemen_(Arabian_Sea)
916,Yemen_(Red_Sea)
16,American_Samoa
